TIPO,NOMBRE,DESCRIPCIÓN,LINK
LEY,Ley 21389,CREA EL REGISTRO NACIONAL DE DEUDORES DE PENSIONES DE ALIMENTOS Y MODIFICA DIVERSOS CUERPOS LEGALES PARA PERFECCIONAR EL SISTEMA DE PAGO DE LAS PENSIONES DE ALIMENTOS,https://www.bcn.cl/leychile/navegar?idNorma=1168463
LEY,Ley 21391,"ESTABLECE MODALIDAD DE TRABAJO A DISTANCIA O TELETRABAJO PARA EL CUIDADO DE NIÑOS O NIÑAS Y PERSONAS CON DISCAPACIDAD, EN LOS CASOS QUE INDICA",https://www.bcn.cl/leychile/navegar?idNorma=1168623
LEY,Ley 21643,"MODIFICA EL CÓDIGO DEL TRABAJO Y OTROS CUERPOS LEGALES, EN MATERIA DE PREVENCIÓN, INVESTIGACIÓN Y SANCIÓN DEL ACOSO LABORAL, SEXUAL O DE VIOLENCIA EN EL TRABAJO",https://www.bcn.cl/leychile/navegar?idNorma=1200096
NCH,NCh 436:2000,Prevención de accidentes del trabajo - Disposiciones generales,https://www.inn.cl/
NCH,NCh 461:2000,Cascos de protección de uso industrial,https://www.inn.cl/
NCH,NCh 502:1996,Protección de las manos - Guantes - Vocabulario,https://www.inn.cl/
NCH,NCh 721:1997,Calzado de seguridad y calzado ocupacional - Vocabulario,https://www.inn.cl/
NCH,NCh 772/1:2019,Calzado de seguridad - Requisitos - Parte 1: Calzado de uso general,https://www.inn.cl/
NCH,NCh 1252:1977,Protección personal - Guantes de seguridad - Especificaciones,https://www.inn.cl/
NCH,NCh 1252/1:1996,"Guantes de protección - Parte 1: Guantes de cuero y/o textiles - Clasificación, requisitos, métodos de ensayo",https://www.inn.cl/
NCH,NCh 1256:1977,ESTABLECE REQUISITOS QUE DEBEN CUMPLIR LOS CINTURONES DE SEGURIDAD EMPLEADOS EN LOS ASIENTOS DELANTEROS DE LOS VEHICULOS QUE INDICA,https://www.inn.cl/
NCH,NCh 1258/1:2004,Sistemas personales para detención de caídas - Parte 1: Arneses para el cuerpo completo,https://www.inn.cl/
NCH,NCh 1258/2:2005,Sistemas personales para detención de caídas - Parte 2: Estrobos y amortiguadores de impacto,https://www.inn.cl/
NCH,NCh 1258/3:2005,Sistemas personales para detención de caídas - Parte 3: Líneas de vida autorretráctiles,https://www.inn.cl/
NCH,NCh 1258/4:2005,Sistemas personales para detención de caídas - Parte 4: Rieles verticales y líneas de vida verticales que incorporan un dispositivo para detención tipo deslizante,https://www.inn.cl/
NCH,NCh 1284:1997,Aparatos de protección respiratoria - Medias máscaras y cuartos de máscaras - Requisitos y métodos de ensayo,https://www.inn.cl/
NCH,NCh 1285/1:1997,Aparatos de protección respiratoria - Equipos purificadores - Requisitos y ensayos - Parte 1: Filtros contra partículas,https://www.inn.cl/
NCH,NCh 1285/2:1997,Aparatos de protección respiratoria - Equipos purificadores - Requisitos y ensayos - Parte 2: Filtros contra gases y filtros mixtos,https://www.inn.cl/
NCH,NCh 1331/4:2001,"Protectores auditivos - Parte 4: Recomendaciones para la selección, uso, cuidados y mantención",https://www.inn.cl/
NCH,NCh 1358:2000,Protectores auditivos - Terminología y clasificación,https://www.inn.cl/
NCH,NCh 1429:2008,Extintores portátiles - Vocabulario,https://www.inn.cl/
NCH,NCh 1430:2008,Extintores portátiles - Requisitos de rotulación,https://www.inn.cl/
NCH,NCh 1433:2007,Extintores portátiles - Ubicación y señalización,https://www.inn.cl/
NCH,NCh 1668:2005,Guantes de seguridad - Guantes elastoméricos o plásticos para trabajos eléctricos,https://www.inn.cl/
NCH,NCh 2147/2:1993,Calzado de seguridad para riesgos especiales - Parte 2: Calzado aislante para tensiones inferiores a 600 volt,https://www.inn.cl/
NCH,NCh 2175:1995,Aparatos de protección respiratoria - Vocabulario,https://www.inn.cl/
NCH,NCh 2176:1995,Aparatos de protección respiratoria - Clasificación,https://www.inn.cl/
NCH,NCh 2177:1994,Aparatos de protección respiratoria - Nomenclatura de componentes,https://www.inn.cl/
NCH,NCh 2837:2005,Elementos de protección ocular - Especificaciones,https://www.inn.cl/
NCH,NCh 2914:2005,Elementos de protección ocular - Filtros para soldadura y técnicas relacionadas - Requisitos de transmitancia y uso recomendado,https://www.inn.cl/
NCH,NCh 2918:2005,Elementos de protección ocular - Vocabulario,https://www.inn.cl/
NCH,NCh 3254:2011,Ropa de protección de alta visibilidad - Requisitos y ensayos,https://www.inn.cl/
NCH,NCh 3262:2021,"Sistemas de gestión - Gestión de igualdad de género y conciliación de la vida laboral, familiar y personal - Requisitos",https://www.inn.cl/
RESOLUCIÓN EXENTA,Resolución Exenta 156,"APRUEBA COMPENDIO DE NORMAS DEL SEGURO SOCIAL DE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES DE LA LEY N° 16.744, DEROGA Y DECLARA INAPLICABLES CIRCULARES QUE INDICA",https://www.bcn.cl/leychile/navegar?idNorma=1116045
RESOLUCIÓN EXENTA,Resolución Exenta 268,APRUEBA PROTOCOLO DE VIGILANCIA DEL AMBIENTE Y DE LA SALUD DE LOS TRABAJADORES CON EXPOSICIÓN A LA SÍLICE,https://www.bcn.cl/leychile/navegar?idNorma=1083722
RESOLUCIÓN EXENTA,Resolución Exenta 341,"Aprueba Guía para la elaboración de programa preventivo de seguridad en máquinas, equipos y herramientas motrices (MEHM) - Departamento Salud Ocupacional del Instituto de Salud Pública de Chile - 27-02-2023",https://www.bcn.cl/leychile/navegar?idNorma=1189701
RESOLUCIÓN EXENTA,Resolución Exenta N°364,APRUEBA EL USO DE RADIOGRAFÍA DIGITAL Y ANÁLOGA EN LA EVALUACIÓN MÉDICO LEGAL DE TRABAJADORES EXPUESTOS A AGENTES CAUSANTES DE NEUMOCONIOSIS,https://www.minsal.cl/
RESOLUCIÓN EXENTA,Resolución Exenta 607,"Actualiza Protocolo de vigilancia COVID-19 en centros de trabajo y deja sin efecto la resolución exenta N°33 de 2021 - 13 de Mayo 2022",https://www.minsal.cl/
RESOLUCIÓN EXENTA,Resolución Exenta 860,"Aprueba Guía de conceptos básicos e indicadores en seguridad y salud en el trabajo, elaborado por el departamento de salud pública de Chile",https://www.minsal.cl/
